Designator,Mid X,Mid Y,Rotation,Layer
C1,-30.936999,56.743598,90.0,bottom
C10,-9.825,25.45,180.0,bottom
C11,-9.2,24.425,0.0,bottom
C12,-7.5,17.0,270.0,bottom
C13,5.66,32.4,90.0,bottom
C14,-14.108851,16.789347,0.0,bottom
C15,8.3058,13.8658,270.0,bottom
C16,3.1,32.65,90.0,bottom
C17,1.1,17.6,270.0,bottom
C18,-36.43,34.47,90.0,bottom
C19,-9.2,22.97,0.0,bottom
C2,-32.512,56.7436,90.0,bottom
C20,15.975,24.975,180.0,bottom
C21,-7.95,25.45,0.0,bottom
C22,-6.5,17.0,270.0,bottom
C23,-3.2,17.0,270.0,bottom
C24,-1.97,16.16,270.0,bottom
C25,-5.25,17.0,270.0,bottom
C26,-4.2418,16.4084,270.0,bottom
C27,16.58,32.625,90.0,bottom
C28,13.53,28.59,180.0,bottom
C29,8.75,19.8,180.0,bottom
C3,-28.4,58.05,180.0,bottom
C30,-7.4,30.74,0.0,bottom
C31,-23.38,9.08,180.0,bottom
C32,-21.66,12.77,270.0,bottom
C33,-21.67,10.88,90.0,bottom
C34,-23.39,7.93,180.0,bottom
C35,-24.86,15.3,0.0,bottom
C36,-25.56,14.29,180.0,bottom
C37,-34.8,4.05,0.0,bottom
C38,-36.6,13.3,0.0,bottom
C39,-26.194999,51.225,90.0,bottom
C4,-28.4988,56.5658,0.0,bottom
C40,-29.429997,51.249999,90.0,bottom
C41,-29.434998,47.699999,270.0,bottom
C42,-26.2,47.674999,270.0,bottom
C43,-29.925,38.625,90.0,bottom
C44,-33.94,33.73,180.0,bottom
C45,-33.94,42.54,180.0,bottom
C46,-33.94,40.35,180.0,bottom
C47,-33.94,35.93,180.0,bottom
C48,-33.94,38.13,180.0,bottom
C49,-33.7,31.975,180.0,bottom
C5,-1.825,32.4,90.0,bottom
C50,-21.9,27.250001,90.0,bottom
C51,-19.85,27.260002,90.0,bottom
C52,-24.674999,27.975,180.0,bottom
C53,-18.78,42.26,270.0,bottom
C54,-18.07,39.47,0.0,bottom
C55,-27.180002,38.619998,90.0,bottom
C56,-20.8,39.325,270.0,bottom
C57,47.81,21.53,180.0,bottom
C58,46.43,34.06,180.0,bottom
C59,45.9,44.16,180.0,bottom
C60,44.27,57.01,90.0,bottom
C61,41.89,48.09,270.0,bottom
C62,-38.2524,42.2148,180.0,bottom
C63,-44.688727,40.980705,180.0,bottom
C64,12.53,53.39,180.0,bottom
C65,36.068,36.3068,270.0,bottom
C66,36.0452,45.0088,180.0,bottom
C67,36.0426,38.608,180.0,bottom
C68,34.52,2.66,270.0,bottom
C69,42.125,10.005,270.0,bottom
C7,-14.75,15.219347,0.0,bottom
C70,40.575,12.125,90.0,bottom
C71,35.825,11.45,0.0,bottom
C72,36.49,2.78,270.0,bottom
C73,31.31,3.26,0.0,bottom
C74,31.82,1.99,0.0,bottom
C75,28.9,12.44,180.0,bottom
C76,40.37,3.0,270.0,bottom
C77,38.2,3.78,270.0,bottom
C78,38.2,1.9,90.0,bottom
C79,35.075,6.125,270.0,bottom
C8,-7.64,34.42,0.0,bottom
C80,35.075,9.175,90.0,bottom
C81,22.479,18.796,0.0,bottom
C82,41.825,36.945,270.0,bottom
C83,12.411104,27.26,0.0,bottom
C84,36.14,59.23,90.0,bottom
C85,-13.3604,41.9608,90.0,bottom
C86,-14.3764,41.9608,90.0,bottom
C9,-9.505,30.75,0.0,bottom
CN1,40.54,59.95,180.0,top
D1,-46.3042,23.1394,180.0,bottom
D10,17.0,-5.8,270.0,bottom
D11,23.0,-5.8,270.0,bottom
D12,-40.0,-2.3,270.0,bottom
D13,-34.0,-2.3,270.0,bottom
D14,-28.0,-2.3,270.0,bottom
D15,-22.0,-2.25,270.0,bottom
D16,-15.0,-5.8,270.0,bottom
D17,-9.0,-5.8,270.0,bottom
D18,-4.0,-2.3,270.0,bottom
D19,5.0,-5.8,270.0,bottom
D2,5.725,15.525,270.0,bottom
D20,0.0,-2.3,270.0,bottom
D21,8.0,-2.3,270.0,bottom
D22,15.0,-5.8,270.0,bottom
D23,19.0,-5.8,270.0,bottom
D24,25.0,-5.8,270.0,bottom
D25,-39.0,-5.8,270.0,bottom
D26,-33.0,-5.8,270.0,bottom
D27,-27.0,-5.8,270.0,bottom
D28,-21.0,-5.8,270.0,bottom
D29,-16.0,-2.3,270.0,bottom
D3,24.65,25.2,180.0,bottom
D30,-11.0,-5.8,270.0,bottom
D31,-6.0,-2.3,270.0,bottom
D32,2.0,-2.3,270.0,bottom
D33,9.0,-5.8,270.0,bottom
D34,-2.0,-2.3,270.0,bottom
D35,11.0,-5.8,270.0,bottom
D36,16.0,-2.3,270.0,bottom
D37,22.0,-2.3,270.0,bottom
D38,-42.0,-2.3,270.0,bottom
D39,-35.0,-5.8,270.0,bottom
D4,-37.0,-5.8,270.0,bottom
D40,-29.0,-5.8,270.0,bottom
D41,-23.0,-5.75,270.0,bottom
D42,-14.0,-2.3,270.0,bottom
D43,-10.0,-2.3,270.0,bottom
D44,-5.0,-5.8,270.0,bottom
D45,4.0,-2.3,270.0,bottom
D46,-3.0,-5.8,270.0,bottom
D47,6.0,-2.3,270.0,bottom
D48,14.0,-2.3,270.0,bottom
D49,20.0,-2.3,270.0,bottom
D5,-30.0,-2.3,270.0,bottom
D50,27.0,-5.75,270.0,bottom
D51,-38.0,-2.3,270.0,bottom
D52,-32.0,-2.3,270.0,bottom
D53,-26.0,-2.3,270.0,bottom
D54,-20.0,-2.3,270.0,bottom
D55,-17.0,-5.8,270.0,bottom
D56,-12.0,-2.3,270.0,bottom
D57,-8.0,-2.3,270.0,bottom
D58,1.0,-5.8,270.0,bottom
D59,3.0,-5.8,270.0,bottom
D6,-25.0,-5.8,270.0,bottom
D60,30.0,-2.3,270.0,bottom
D61,12.0,-2.3,270.0,bottom
D62,18.0,-2.3,270.0,bottom
D63,24.0,-2.3,270.0,bottom
D64,-44.0,-2.3,270.0,bottom
D65,-36.0,-2.3,270.0,bottom
D66,-31.0,-5.8,270.0,bottom
D67,-24.0,-2.3,270.0,bottom
D68,-18.0,-2.3,270.0,bottom
D69,-13.0,-5.8,270.0,bottom
D7,-19.0,-5.8,270.0,bottom
D70,-7.0,-5.8,270.0,bottom
D71,7.0,-5.8,270.0,bottom
D72,13.0,-5.8,270.0,bottom
D73,21.0,-5.8,270.0,bottom
D74,26.0,-2.3,270.0,bottom
D75,28.0,-2.3,270.0,bottom
D76,-27.95,-57.65,180.0,top
D77,29.2,-3.9,0.0,top
D78,-13.95,-57.65,180.0,top
D79,14.6,-3.9,0.0,top
D8,-1.0,-5.8,270.0,bottom
D80,14.05,-57.65,180.0,top
D81,-14.6,-3.9,0.0,top
D82,28.05,-57.65,180.0,top
D83,-29.2,-3.9,0.0,top
D84,-36.25,30.5,270.0,bottom
D85,-46.0,61.0,0.0,bottom
D86,46.4775,32.24,180.0,bottom
D87,46.3,57.0775,270.0,bottom
D9,10.0,-2.3,270.0,bottom
H1,-50.35,57.85,0.0,top
H2,50.35,57.85,90.0,top
H3,-44.35,-60.85,0.0,top
H4,44.35,-60.85,0.0,top
J1,-51.375,48.2,90.0,bottom
J10,-47.77,12.62,90.0,bottom
J11,-46.75,-13.325,0.0,bottom
J12,-47.0,-17.0,90.0,top
J13,-48.514,-32.5,270.0,bottom
J14,-47.0,-21.17,90.0,top
J15,-47.0,-29.51,90.0,top
J16,-47.0,-25.34,90.0,top
J2,-47.75,31.55,90.0,bottom
J3,-38.75,60.32,180.0,bottom
J4,49.1675,6.05,270.0,bottom
J5,39.1668,-7.4168,0.0,bottom
J6,34.95,23.05,0.0,bottom
J8,54.5,16.0,270.0,bottom
J9,3.81,6.2,180.0,bottom
L1,-9.75,15.0,90.0,bottom
L2,-32.925,28.775,270.0,bottom
L3,-21.25,48.75,180.0,bottom
L4,46.45,28.88,180.0,bottom
L5,44.85,53.11,180.0,bottom
N6,0.0,0.0,0.0,top
N7,0.0,-14.0,0.0,bottom
Q1,32.9,-1.6625,270.0,bottom
Q2,-22.862499,30.8,180.0,bottom
Q3,25.46,13.8425,90.0,bottom
Q4,47.2,13.3275,270.0,bottom
R1,-40.49,55.12,180.0,bottom
R10,-7.62,33.4,0.0,bottom
R11,-12.0,15.75,0.0,bottom
R12,-7.859999,19.975,0.0,bottom
R13,-13.75,18.25,90.0,bottom
R14,-38.78,27.54,180.0,bottom
R15,-38.78,26.44,180.0,bottom
R16,-38.15,35.48,0.0,bottom
R17,-38.15,34.48,0.0,bottom
R18,-38.78,28.64,180.0,bottom
R19,-38.82,32.04,270.0,bottom
R2,-36.44,55.05,0.0,bottom
R20,-6.07,11.78,90.0,bottom
R21,46.9392,37.2364,90.0,bottom
R22,-1.75,12.2,90.0,bottom
R23,9.901104,27.25,180.0,bottom
R24,9.375,21.575,180.0,bottom
R25,-20.45,9.980001,270.0,bottom
R26,-20.44,7.620001,90.0,bottom
R27,-31.525,1.925,90.0,bottom
R28,-32.475,1.925,90.0,bottom
R29,-38.69,24.22,0.0,bottom
R3,-11.75,27.37,270.0,bottom
R30,-29.35,16.35,270.0,bottom
R31,-37.99,0.2,0.0,bottom
R32,-40.0,0.2,0.0,bottom
R33,-34.0,0.2,0.0,bottom
R34,-36.0,0.2,0.0,bottom
R35,-25.99,0.2,0.0,bottom
R36,-27.99,0.2,0.0,bottom
R37,-22.0,0.2,0.0,bottom
R38,-24.0,0.2,0.0,bottom
R39,35.25,-2.65,270.0,bottom
R4,-43.9,19.1,270.0,bottom
R40,35.68,-1.21,0.0,bottom
R41,-28.5496,38.1,90.0,bottom
R42,-24.325,33.659999,90.0,bottom
R43,-25.174999,43.297499,270.0,bottom
R44,-25.384999,37.625,0.0,bottom
R45,-25.16,41.06,270.0,bottom
R46,-18.515001,31.755,0.0,bottom
R47,-25.375,38.7,180.0,bottom
R48,-18.515001,30.735,180.0,bottom
R49,45.140001,46.775,0.0,bottom
R5,0.8,34.14,90.0,bottom
R50,44.984999,21.56,90.0,bottom
R51,49.674999,23.84,90.0,bottom
R52,47.98,48.551249,90.0,bottom
R53,-36.7538,43.7896,0.0,bottom
R54,-41.0,41.39,0.0,bottom
R55,13.09,43.28,0.0,bottom
R56,-9.74,39.47,180.0,bottom
R57,-9.74,40.74,180.0,bottom
R58,-9.74,42.0,180.0,bottom
R59,-9.74,43.26,180.0,bottom
R6,-0.2,34.12,90.0,bottom
R60,-9.74,44.55,180.0,bottom
R61,-9.74,45.5168,180.0,bottom
R62,15.0876,43.2816,180.0,bottom
R63,13.1,37.25,180.0,bottom
R64,13.1,38.2,0.0,bottom
R65,13.1,39.45,0.0,bottom
R66,12.57,52.2,180.0,bottom
R67,13.1,42.02,180.0,bottom
R68,-9.72,38.25,0.0,bottom
R69,37.1856,41.1226,0.0,bottom
R7,12.5496,46.95,180.0,bottom
R70,-9.6774,47.6504,0.0,bottom
R71,50.62,12.6,90.0,bottom
R72,28.35,13.9,180.0,bottom
R73,35.2,13.264294,270.0,bottom
R74,34.224293,13.264294,90.0,bottom
R75,33.25,13.264294,270.0,bottom
R76,41.88,3.27,270.0,bottom
R77,28.09,10.750001,90.0,bottom
R78,41.89,1.34,90.0,bottom
R79,49.57,12.6,270.0,bottom
R8,12.5696,48.6,180.0,bottom
R80,49.58,14.525,90.0,bottom
R81,36.2,56.95,270.0,bottom
R82,37.55,56.95,90.0,bottom
R83,-14.0208,45.8216,180.0,bottom
R9,-0.2,12.2,270.0,bottom
SW1,52.65,27.1,270.0,bottom
SW2,52.65,37.1,270.0,bottom
SW3,52.65,47.1,270.0,bottom
U1,-44.137999,45.9105,270.0,bottom
U10,11.14,32.19,90.0,bottom
U11,-30.0,9.2,270.0,bottom
U12,-27.4,17.55,180.0,bottom
U13,0.0,-30.8,0.0,top
U14,-21.2575,15.940000000000001,270.0,bottom
U15,-27.92,32.7825,270.0,bottom
U16,-22.125,42.975,90.0,bottom
U17,46.649999,24.7,180.0,bottom
U18,44.74,48.98,180.0,bottom
U19,-37.8968,39.4208,90.0,bottom
U2,-33.909,54.102,270.0,bottom
U20,1.25,46.45,0.0,bottom
U21,26.035,44.564,180.0,bottom
U22,36.5252,43.0784,270.0,bottom
U24,38.63,7.86,270.0,bottom
U25,31.47,7.88,180.0,bottom
U26,-42.4282,43.3728,180.0,bottom
U27,-54.5,47.0,180.0,top
U28,-54.5,13.25,180.0,top
U29,-54.5,6.25,180.0,top
U3,-22.8925,56.1425,270.0,bottom
U30,54.5,47.0,180.0,top
U31,54.5,13.25,180.0,top
U32,54.5,6.25,180.0,top
U33,-13.2588,39.2176,0.0,bottom
U4,49.8466,17.2933,270.0,bottom
U5,-43.5,14.0,270.0,bottom
U6,-43.5,8.0,270.0,bottom
U7,-10.986351,18.019347,180.0,bottom
U8,0.0,25.0,270.0,bottom
U9,11.3516,13.8016,270.0,bottom
Y1,-23.6725,60.8925,180.0,bottom
Y2,-8.725,28.107,270.0,bottom
Y3,-23.39,11.78,270.0,bottom
